Date,Open,High,Low,Close,Adj Close,Volume
2016-07-07,114.220001,114.989998,113.410004,114.129997,108.264427,20780600
2016-07-08,115.250000,117.089996,115.150002,116.790001,110.787720,37964800
2016-07-11,117.559998,118.430000,117.470001,118.139999,112.068344,26987300
2016-07-12,119.000000,120.419998,118.830002,119.720001,113.567146,44153000
2016-07-13,120.330002,120.389999,118.949997,119.250000,113.121300,28050200
2016-07-14,120.300003,120.360001,119.300003,119.370003,113.235130,19345400
2016-07-15,119.889999,120.040001,119.279999,119.699997,113.548172,23857300
2016-07-18,119.529999,120.349998,119.330002,119.900002,113.737885,17422400
2016-07-19,119.760002,119.970001,118.930000,119.300003,113.168724,19734100
2016-07-20,119.550003,120.440002,118.940002,120.080002,113.908638,22390500
2016-07-21,120.010002,120.599998,119.250000,119.510002,113.367935,19018700
2016-07-22,119.580002,120.650002,119.349998,120.400002,114.212204,17796100
2016-07-25,120.150002,120.459999,119.760002,120.220001,114.041451,13694600
2016-07-26,120.199997,120.970001,119.919998,120.800003,114.591629,19551100
2016-07-27,121.000000,121.470001,120.349998,121.139999,114.914169,21064700
2016-07-28,120.879997,121.239998,120.529999,120.830002,114.620102,16540100
2016-07-29,120.709999,121.760002,120.050003,121.070000,114.847763,30267900
2016-08-01,121.199997,121.699997,120.440002,121.169998,114.942627,34771700
2016-08-02,121.160004,121.209999,119.099998,119.480003,113.339470,28691000
2016-08-03,119.370003,120.500000,119.099998,120.449997,114.259621,17830300
2016-08-04,120.449997,121.190002,120.260002,120.559998,114.363976,17526700
2016-08-05,121.339996,122.580002,120.970001,122.300003,116.014549,28643400
2016-08-08,122.349998,122.849998,122.029999,122.239998,115.957642,14625700
2016-08-09,122.269997,122.629997,122.139999,122.370003,116.080933,12487700
2016-08-10,122.379997,122.599998,121.150002,121.489998,115.246162,19138100
2016-08-11,122.029999,122.400002,121.570000,122.070000,115.796364,21144600
2016-08-12,121.830002,122.459999,121.629997,122.190002,115.910194,12251200
2016-08-15,122.459999,123.690002,122.430000,123.400002,117.058022,22048000
2016-08-16,123.080002,123.120003,122.260002,122.400002,116.109428,20244300
2016-08-17,122.440002,122.500000,121.330002,122.040001,115.767899,20632600
2016-08-18,122.080002,122.970001,122.040001,122.940002,116.621643,16244600
2016-08-19,122.769997,123.070000,122.279999,122.940002,116.621643,17379500
2016-08-22,122.680000,123.339996,122.330002,123.220001,116.887268,16929700
2016-08-23,123.610001,124.459999,123.610001,124.080002,117.703064,21539400
2016-08-24,123.940002,124.250000,122.769997,123.070000,116.744980,21533400
2016-08-25,122.620003,123.690002,122.610001,123.309998,116.972633,17023200
2016-08-26,123.449997,124.410004,122.300003,123.059998,116.735497,26734400
2016-08-29,123.269997,124.169998,123.239998,123.699997,117.342590,14013900
2016-08-30,123.830002,124.169998,123.379997,123.930000,117.560760,14031300
2016-08-31,123.779999,123.889999,122.550003,123.230003,116.896759,29236300
2016-09-01,123.339996,123.629997,122.019997,123.320000,116.982147,22964700
2016-09-02,124.010002,124.529999,123.629997,124.510002,118.110970,23083300
2016-09-06,124.919998,124.970001,123.970001,124.629997,118.224800,13711000
2016-09-07,124.550003,125.440002,124.480003,125.410004,118.964722,17830500
2016-09-08,125.309998,125.410004,124.769997,125.160004,118.727562,16265500
2016-09-09,124.180000,124.209999,121.209999,121.250000,115.018524,54239000
2016-09-12,120.690002,122.970001,120.580002,122.940002,116.621643,33408100
2016-09-13,122.059998,122.160004,119.879997,120.580002,114.382942,47536200
2016-09-14,120.769997,121.470001,120.290001,120.599998,114.401917,30545500
2016-09-15,120.680000,122.190002,120.510002,122.040001,115.767899,29499800
2016-09-16,122.040001,122.040001,121.099998,121.860001,115.597160,31940500
2016-09-19,122.320000,123.550003,121.989998,122.669998,116.365532,22807000
2016-09-20,123.199997,123.230003,122.150002,122.150002,115.872246,16877900
2016-09-21,122.580002,123.970001,122.099998,123.919998,117.551292,30784700
2016-09-22,124.730003,125.800003,124.660004,125.699997,119.239815,36287700
2016-09-23,125.559998,125.879997,124.809998,124.809998,118.395554,26118000
2016-09-26,123.800003,124.169998,123.099998,123.230003,117.219849,20028000
2016-09-27,123.169998,123.879997,122.809998,123.730003,117.695457,16939500
2016-09-28,123.949997,124.760002,123.070000,124.680000,118.599106,19426400
2016-09-29,124.620003,124.639999,122.699997,122.860001,116.867867,26657700
2016-09-30,123.419998,124.779999,122.860001,124.209999,118.152039,31764500
2016-10-03,123.830002,124.099998,123.129997,123.820000,117.781075,18674300
2016-10-04,124.019997,124.309998,122.650002,123.209999,117.200806,26057300
2016-10-05,123.690002,124.680000,123.650002,123.949997,117.904716,24317300
2016-10-06,123.750000,124.019997,122.820000,123.820000,117.781075,18937100
2016-10-07,124.040001,124.320000,122.230003,122.830002,116.839348,28732700
2016-10-10,122.830002,124.739998,122.830002,124.300003,118.237656,21481700
2016-10-11,124.050003,124.110001,121.339996,122.029999,116.078369,31931300
2016-10-12,122.089996,122.610001,121.529999,121.930000,115.983238,20210400
2016-10-13,120.989998,121.410004,120.110001,120.919998,115.022491,26302500
2016-10-14,121.360001,121.839996,120.400002,120.430000,114.556396,24554600
2016-10-17,120.580002,120.849998,120.160004,120.290001,114.423225,17119500
2016-10-18,121.519997,121.580002,120.660004,120.980003,115.079582,19158900
2016-10-19,121.169998,121.949997,120.500000,121.489998,115.564682,18477400
2016-10-20,121.139999,122.000000,120.410004,121.129997,115.222275,20485600
2016-10-21,120.260002,121.370003,120.099998,121.070000,115.165161,21093700
2016-10-24,122.040001,122.610001,121.449997,121.839996,115.897629,15421600
2016-10-25,121.809998,121.989998,120.599998,120.930000,115.032021,16459800
2016-10-26,120.110001,121.000000,119.459999,119.730003,113.890541,24975300
2016-10-27,120.120003,120.139999,118.089996,118.360001,112.587341,29525700
2016-10-28,118.309998,119.029999,117.750000,118.029999,112.273445,35473700
2016-10-31,118.180000,118.639999,117.800003,118.500000,112.720543,20311800
2016-11-01,118.660004,118.699997,116.279999,117.050003,111.341240,34147200
2016-11-02,116.870003,117.000000,115.389999,115.559998,109.923927,29859900
2016-11-03,115.910004,116.239998,114.879997,115.000000,109.391228,22717500
2016-11-04,115.300003,116.900002,115.050003,115.739998,110.095131,35237200
2016-11-07,118.000000,118.820000,117.709999,118.570000,112.787109,32370900
2016-11-08,118.300003,119.459999,117.709999,118.879997,113.081978,26196800
2016-11-09,118.080002,122.830002,118.050003,122.540001,116.563469,77416800
2016-11-10,124.260002,125.400002,122.620003,124.500000,118.427887,83440700
2016-11-11,125.029999,127.720001,124.550003,127.360001,121.148415,95612800
2016-11-14,128.949997,130.259995,128.389999,129.149994,122.851097,83119400
2016-11-15,128.850006,129.889999,128.300003,129.550003,123.231598,38704500
2016-11-16,129.250000,130.000000,129.029999,129.539993,123.222076,42325500
2016-11-17,129.949997,130.830002,129.750000,130.300003,123.945038,42576900
2016-11-18,130.690002,131.089996,130.300003,130.990005,124.601372,41380600
2016-11-21,131.309998,132.000000,130.610001,131.600006,125.181633,32293100
2016-11-22,132.119995,132.899994,131.669998,132.800003,126.323074,39681500
2016-11-23,132.479996,133.649994,132.100006,133.630005,127.112602,37939200
2016-11-25,133.729996,134.100006,133.539993,134.070007,127.531158,13373400
2016-11-28,133.970001,134.000000,132.149994,132.330002,125.875992,32505700
2016-11-29,132.509995,133.089996,132.100006,132.259995,125.809418,27993700
2016-11-30,132.919998,133.089996,131.500000,131.610001,125.191116,32491200
2016-12-01,132.250000,132.550003,130.289993,130.970001,124.582329,39815900
2016-12-02,130.940002,131.470001,130.520004,130.899994,124.515755,24054100
2016-12-05,131.970001,133.330002,131.889999,133.149994,126.656036,27547100
